iter	Passed	Remaining
0	1	160
1	3	147
2	4	137
3	5	125
4	6	123
5	7	123
6	9	127
7	10	124
8	12	123
9	13	122
10	15	123
11	16	119
12	17	116
13	18	113
14	19	110
15	20	107
16	21	105
17	22	103
18	23	102
19	25	101
20	26	99
21	28	99
22	29	98
23	30	97
24	31	95
25	32	93
26	34	91
27	35	90
28	36	88
29	37	87
30	38	86
31	40	86
32	42	85
33	43	84
34	44	83
35	45	81
36	47	80
37	48	78
38	49	77
39	50	75
40	51	74
41	52	72
42	53	71
43	54	69
44	56	68
45	57	67
46	58	66
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	74	49
60	75	48
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	85	38
69	86	36
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	120	2
98	121	1
99	122	0
